raw_content,cleaned_content
确实看到了很多少年派的影子，令我难以共鸣的地方在于末日世界里的动物仍然表现出高度拟人和社会化的行为，那你跟会说话的动物卡通的区别在哪儿呢？审美风格上恰巧也是我没那么喜欢的 3D 风格，不过这个片子与其说本身对我有什么触动不如说制作过程对我的触动更大，小几十人的团队用 blender渲染两个月就搞完了… 以后再加上 AIGC 的加持，创作的技术与资金门槛肉眼可见的越来越低了,确实看到了很多少年派的影子 令我难以共鸣的地方在于末日世界里的动物仍然表现出高度拟人和社会化的行为 那你跟会说话的动物卡通的区别在哪儿呢 审美风格上恰巧也是我没那么喜欢的 3D 风格 不过这个片子与其说本身对我有什么触动不如说制作过程对我的触动更大 小几十人的团队用 blender渲染两个月就搞完了 以后再加上 AIGC 的加持 创作的技术与资金门槛肉眼可见的越来越低了
29th biff 1.动物设置一大堆很多其实都没什么意义。2.动物之间莫名其妙产生的情感不是很能理解。3.我想看最真实的动物世界下的一些东西，过分拟人化和引射人类社会下的东西为什么不直接让真人来演？4.很多逻辑和场景莫名其妙，没什么意义。5.全程观众笑的挺开心的，我在旁边挺尴尬的。,29th biff 1 动物设置一大堆很多其实都没什么意义 2 动物之间莫名其妙产生的情感不是很能理解 3 我想看最真实的动物世界下的一些东西 过分拟人化和引射人类社会下的东西为什么不直接让真人来演 4 很多逻辑和场景莫名其妙 没什么意义 5 全程观众笑的挺开心的 我在旁边挺尴尬的
22/05🐈‍⬛从Animatic版本到Salle Debussy 我们的小猫终于游进了戛纳💙💙💙,22 05 从Animatic版本到Salle Debussy 我们的小猫终于游进了戛纳
这个建模有种想拿出游戏手柄的欲望 剧情其实很简单 很纯粹 视觉方面 退潮段落和最后鲸鱼的镜头给本人震撼挺大的,这个建模有种想拿出游戏手柄的欲望 剧情其实很简单 很纯粹 视觉方面 退潮段落和最后鲸鱼的镜头给本人震撼挺大的
这是我今年看过最可爱的电影，导演一定养猫很多年，紧张的、开心的、害怕的、舒适的、玩耍的样子太像了！！！玩尾巴、从桌子上推东西、喜欢站在高处、玩光影、清洁自己，每一个猫的小习惯都捕捉到了，没有一句台词，却可爱晕了！少年喵的奇幻漂流，好美好可爱,这是我今年看过最可爱的电影 导演一定养猫很多年 紧张的 开心的 害怕的 舒适的 玩耍的样子太像了 玩尾巴 从桌子上推东西 喜欢站在高处 玩光影 清洁自己 每一个猫的小习惯都捕捉到了 没有一句台词 却可爱晕了 少年喵的奇幻漂流 好美好可爱
好聪明又勇敢的宝宝们。第一个泪点是水面上涨的时候猫猫不敢接受上船的邀请，因为自己不是狗狗们的一员，一种非常精准的孤独感。而最后的团体是由许多脱离了同类的动物们组成的。当白鹭飞往天空，它始终盯着的地方，那是一种令人心碎的高贵，意味着再没有同类的挽歌能给自己的灵魂立碑。绝对的自然是一个世界，现实是一个世界（最糟糕的），而电影传递的是幻想的世界，船在树上，树在风中，风在云上，云在水中。最后狐猴的镜子被打碎，但它也通过水中的倒影看清了自己。可惜的是开头那条努力向水中翻滚却又被猫猫叼走的鱼，没有人关心它去了哪，没有人关心这种最微不足道却又最庞然的生命力。幻想的世界始终受到现实世界的侵蚀。,好聪明又勇敢的宝宝们 第一个泪点是水面上涨的时候猫猫不敢接受上船的邀请 因为自己不是狗狗们的一员 一种非常精准的孤独感 而最后的团体是由许多脱离了同类的动物们组成的 当白鹭飞往天空 它始终盯着的地方 那是一种令人心碎的高贵 意味着再没有同类的挽歌能给自己的灵魂立碑 绝对的自然是一个世界 现实是一个世界 最糟糕的 而电影传递的是幻想的世界 船在树上 树在风中 风在云上 云在水中 最后狐猴的镜子被打碎 但它也通过水中的倒影看清了自己 可惜的是开头那条努力向水中翻滚却又被猫猫叼走的鱼 没有人关心它去了哪 没有人关心这种最微不足道却又最庞然的生命力 幻想的世界始终受到现实世界的侵蚀
没看懂想要表达什么，感觉就是一个很平淡很无趣的电影，在各种强行解读。,没看懂想要表达什么 感觉就是一个很平淡很无趣的电影 在各种强行解读
真没人觉得有点恐怖吗？,真没人觉得有点恐怖吗
高貴的動畫，看完之後你會覺得某些動畫如此聒噪,高貴的動畫 看完之後你會覺得某些動畫如此聒噪
3.5  水里倒映出支离破碎的文明遗址，像末世游戏CG，也会想起百年前的“电影眼”。没有一个人类、一句台词，动物终于脱离了人类中心主义。它们不用被当成“治愈萌宠”，没有旁白内心OS，也没有拟人的举止，只有真实的生存细节。方舟之旅同时也是选择之旅，随时都有犯错的风险。一群不可能共处的动物，挤在狭窄的船舱里，放弃一部分自我习性，成为离不开的朋友——能把它解释成是诺亚方舟式的寓言，但也没什么必要，这就是一个淡淡的、朴素的故事。,3 5 水里倒映出支离破碎的文明遗址 像末世游戏CG 也会想起百年前的 电影眼 没有一个人类 一句台词 动物终于脱离了人类中心主义 它们不用被当成 治愈萌宠 没有旁白内心OS 也没有拟人的举止 只有真实的生存细节 方舟之旅同时也是选择之旅 随时都有犯错的风险 一群不可能共处的动物 挤在狭窄的船舱里 放弃一部分自我习性 成为离不开的朋友 能把它解释成是诺亚方舟式的寓言 但也没什么必要 这就是一个淡淡的 朴素的故事
好温柔、好有爱的动画作品啊,好温柔 好有爱的动画作品啊
明明是猫猫的恐怖漂流，全程惊恐……,明明是猫猫的恐怖漂流 全程惊恐
"Oh，my captain！卡皮巴拉！真是让我们的船长操碎了心，又要开船，又要提醒猫猫避雨，还要给大家摘香蕉，给狐猴捡玻璃，协调“家庭矛盾”，你说说，操劳一个家庭是不是很辛苦！

狐猴🐒就是想照个镜子🪞，你就让它照嘛，干嘛老是破坏，还给人家整碎了，真是的！搜集那么多瓶瓶罐罐多不容易哇。

猫猫好，狗狗坏，有观众问导演为啥是猫？导演回答因为猫🐱怕水众人皆知，以及导演也养过猫。

至于电影的主题，大概率还是讲气候变暖洪水反复吧，所以最后他们又得继续奇幻漂流，但是其实不希望往这个有点儿陈旧乏味的方向去理解。以及相比《荒野机器人》，我更希望这部没有对白的电影能拿到奥斯卡最佳动画长片奖！",Oh my captain 卡皮巴拉 真是让我们的船长操碎了心 又要开船 又要提醒猫猫避雨 还要给大家摘香蕉 给狐猴捡玻璃 协调 家庭矛盾 你说说 操劳一个家庭是不是很辛苦 狐猴 就是想照个镜子 你就让它照嘛 干嘛老是破坏 还给人家整碎了 真是的 搜集那么多瓶瓶罐罐多不容易哇 猫猫好 狗狗坏 有观众问导演为啥是猫 导演回答因为猫 怕水众人皆知 以及导演也养过猫 至于电影的主题 大概率还是讲气候变暖洪水反复吧 所以最后他们又得继续奇幻漂流 但是其实不希望往这个有点儿陈旧乏味的方向去理解 以及相比 荒野机器人 我更希望这部没有对白的电影能拿到奥斯卡最佳动画长片奖
猫猫是你，水豚是你，狗狗是你，狐猴是你，蛇鹫和鲸鱼也是你。无助是你，善良是你，老实是你，自私是你，自尊和搁浅也是你。甚至洪水也是你。每一次无言的心情涌动，何尝不是一场洪水汹涌？,猫猫是你 水豚是你 狗狗是你 狐猴是你 蛇鹫和鲸鱼也是你 无助是你 善良是你 老实是你 自私是你 自尊和搁浅也是你 甚至洪水也是你 每一次无言的心情涌动 何尝不是一场洪水汹涌
请后天拿奥斯卡（已拿，恭喜🎉）,请后天拿奥斯卡 已拿 恭喜
前三分之一，一直在想这个迷失有什么区别，把steam游戏搬上大银幕？后面我觉得这些想法都很幼稚。如果一个创作做到极致，足够好，它带给人的感受是不拘泥形式的。很喜欢最后，洪水退去大部分的动物得救，但对于鲸鱼是生命的终结。灾厄也是辩证的，唯一不变的是对生命的尊重。,前三分之一 一直在想这个迷失有什么区别 把steam游戏搬上大银幕 后面我觉得这些想法都很幼稚 如果一个创作做到极致 足够好 它带给人的感受是不拘泥形式的 很喜欢最后 洪水退去大部分的动物得救 但对于鲸鱼是生命的终结 灾厄也是辩证的 唯一不变的是对生命的尊重
建模也太糙了，在大荧幕上看到像素块真的很无语,建模也太糙了 在大荧幕上看到像素块真的很无语
看泪目了。我不知道该怎么形容这种轻盈到空灵却又深刻而沉重的感觉，就好像电影中鲸鱼的腾跃和死亡让我想起“一鲸落而万物生”——鲸鱼的确守护了猫猫，甚至某种程度上守护了这群动物，我一方面不愿看到它生命的逝去，另一方面也为猫猫一行动物们选择彼此、共渡难关、在洪水中存活下来而欣喜。在这场没有人也与人无关的天灾里，有关自然中生命的选择、存续和消逝变得非常纯粹而厚重，但电影里一切都是那么轻盈，如片名flow一样自然流淌。下一场洪水正在来临，猫猫一行动物们站在一起，水面上倒映出彼此，人类也在这一幕里照见了自己，不是吗？,看泪目了 我不知道该怎么形容这种轻盈到空灵却又深刻而沉重的感觉 就好像电影中鲸鱼的腾跃和死亡让我想起 一鲸落而万物生 鲸鱼的确守护了猫猫 甚至某种程度上守护了这群动物 我一方面不愿看到它生命的逝去 另一方面也为猫猫一行动物们选择彼此 共渡难关 在洪水中存活下来而欣喜 在这场没有人也与人无关的天灾里 有关自然中生命的选择 存续和消逝变得非常纯粹而厚重 但电影里一切都是那么轻盈 如片名flow一样自然流淌 下一场洪水正在来临 猫猫一行动物们站在一起 水面上倒映出彼此 人类也在这一幕里照见了自己 不是吗
全片最让我感动的两幕：蛇鹭羽化登仙；猫猫贴贴搁浅在岸的鲸鱼面露不忍，然后共同经历九死一生的水豚、狗狗和狐猴凑过来紧贴彼此一同看向水中的倒影。,全片最让我感动的两幕 蛇鹭羽化登仙 猫猫贴贴搁浅在岸的鲸鱼面露不忍 然后共同经历九死一生的水豚 狗狗和狐猴凑过来紧贴彼此一同看向水中的倒影
蛇鹫升天太美了啦！又帅又正义（救下小猫）又慧眼识珠（看出来那群狗不是好狗）又会开船（过废墟城堡那段技术简直牛批），暴雨中优雅的站在雨中独自开船，在狗贼上船后毅然决然飞往最高的山峰，羽化登仙，oh！chapter！my chapter！,蛇鹫升天太美了啦 又帅又正义 救下小猫 又慧眼识珠 看出来那群狗不是好狗 又会开船 过废墟城堡那段技术简直牛批 暴雨中优雅的站在雨中独自开船 在狗贼上船后毅然决然飞往最高的山峰 羽化登仙 oh chapter my chapter
今年奥斯卡最佳动画长片提名 就是一个寓言故事 对号入座各种人类 个人并不喜欢这类片子 就像是在学语文作文 老师总是要你分析这只动物代表啥 看着累 2月底会在国内上映 我是不建议去看,今年奥斯卡最佳动画长片提名 就是一个寓言故事 对号入座各种人类 个人并不喜欢这类片子 就像是在学语文作文 老师总是要你分析这只动物代表啥 看着累 2月底会在国内上映 我是不建议去看
感觉有些，说不清道不明的宗教意味和政治隐喻。无孩爱猫鹫，自我牺牲后，洪水褪却。环尾狐猴群体有等级和私有财产制度，群狗像乌合之众，水豚有种朴素的圣人感，还有水中神秘的天使大翅膀鲸鱼。平静的水面，小毛茸茸们第一次看清了自己。PS建模看起来挺廉价的&片尾有彩蛋,感觉有些 说不清道不明的宗教意味和政治隐喻 无孩爱猫鹫 自我牺牲后 洪水褪却 环尾狐猴群体有等级和私有财产制度 群狗像乌合之众 水豚有种朴素的圣人感 还有水中神秘的天使大翅膀鲸鱼 平静的水面 小毛茸茸们第一次看清了自己 PS建模看起来挺廉价的 片尾有彩蛋
我命由我不由天 不是靠口号喊出来。而是潜移默化。我代入不了天赋异禀的官二代哪吒。但在这些小动物身上看到了各种各样的自己。面对各种困难 不屈服 努力向前,我命由我不由天 不是靠口号喊出来 而是潜移默化 我代入不了天赋异禀的官二代哪吒 但在这些小动物身上看到了各种各样的自己 面对各种困难 不屈服 努力向前
好枯燥好无聊动物们都好粗糙,好枯燥好无聊动物们都好粗糙
这才是小朋友看的电影啊。保护过你的朋友飞上天了，那些傻狗还在船上，谁也不知道下一秒怎么样,这才是小朋友看的电影啊 保护过你的朋友飞上天了 那些傻狗还在船上 谁也不知道下一秒怎么样
"好喜欢！以为是个无脑卖萌片，看下来居然有浓重的隐喻，后启示录感，像是把爱死机的一集做成剧场版。在片中你能看到：巨物迷恋，深海恐惧，梦核，城市废墟遗迹。以及猫猫洗脸，猫猫哈气，猫猫吐毛球，猫猫练爪子（x）
人类末世之后，洪水淹没世界。猫猫和其他动物伙伴一路组队，靠着一艘破船求生，动物自救版诺亚方舟。角色全员动物且都不会说话，台词都是原生的叫声，每种动物都符合各自的生活习性，碰撞自然又有趣。
导演太懂奇幻亚文化逼喜欢什么了，场景设计一看就是自己人。当猫猫攀上巨大的猫猫头山，还有犹如人类最后的挣扎五指峰的神山，洪水吞噬一切前壮阔的落日，有种悲壮的浪漫感。孤舟驶入洪水后的古城遗迹，镜头凝视着废土的美，城市风格从意大利到柬埔寨再到不丹，水漫吴哥窟真是令人鸡皮疙瘩起。蛇鹫失重飞升、牡鹿绕圈走太梦核感了。",好喜欢 以为是个无脑卖萌片 看下来居然有浓重的隐喻 后启示录感 像是把爱死机的一集做成剧场版 在片中你能看到 巨物迷恋 深海恐惧 梦核 城市废墟遗迹 以及猫猫洗脸 猫猫哈气 猫猫吐毛球 猫猫练爪子 x 人类末世之后 洪水淹没世界 猫猫和其他动物伙伴一路组队 靠着一艘破船求生 动物自救版诺亚方舟 角色全员动物且都不会说话 台词都是原生的叫声 每种动物都符合各自的生活习性 碰撞自然又有趣 导演太懂奇幻亚文化逼喜欢什么了 场景设计一看就是自己人 当猫猫攀上巨大的猫猫头山 还有犹如人类最后的挣扎五指峰的神山 洪水吞噬一切前壮阔的落日 有种悲壮的浪漫感 孤舟驶入洪水后的古城遗迹 镜头凝视着废土的美 城市风格从意大利到柬埔寨再到不丹 水漫吴哥窟真是令人鸡皮疙瘩起 蛇鹫失重飞升 牡鹿绕圈走太梦核感了
起初会想到电子游戏《Stray》，然而本片是以默片呈现，动物角色虽设计简约，但行为与动作却异常逼真，无需言语便可加深沉浸式体验。穿插着若干奇观时刻，但核心始终围绕友谊与信任展开，直至尾声真正彰显了动物间那份纯真无价的友谊，这是经历过患难与共换来的。,起初会想到电子游戏 Stray 然而本片是以默片呈现 动物角色虽设计简约 但行为与动作却异常逼真 无需言语便可加深沉浸式体验 穿插着若干奇观时刻 但核心始终围绕友谊与信任展开 直至尾声真正彰显了动物间那份纯真无价的友谊 这是经历过患难与共换来的
和第一次看《天线宝宝》时一样的哈欠连天。同是默片，却比《机器人之梦》单调、刻板太多。,和第一次看 天线宝宝 时一样的哈欠连天 同是默片 却比 机器人之梦 单调 刻板太多
原来一个半小时不用听人说话是这么舒畅的体验,原来一个半小时不用听人说话是这么舒畅的体验
美不胜收的动画佳作，对自然的呈现特别细腻。真实动物发出的各种声音取代了语言对白，在尊重动物习性的基础上只作了尽可能少的拟人化塑造（独立又机警的猫猫、或忠诚或无赖的狗狗、痴迷收藏品或自恋的狐猴、随遇而安的水豚、境界更高近乎分有神性的蛇鹫，还有神出鬼没的守护者巨鲸）。大量低机位运动长镜头效果，配上写实自然声与恰到好处配乐，沉浸感太足。天气效果逼真，山水风光秀丽，无论天朗气清、云销雨霁，还是细雨迷蒙甚或狂风暴雨，画面中的葱茏绿意、神秘遗迹、猫猫雕像、宏伟废都和幻彩极光都相当迷人。强度最高的一段审美体验，当属蛇鹫不断飞升而猫猫只能渐次落地的场景。整体上也是猫猫在遭遇洪水浩劫后不断历练成长、从独来独往到与其他动物互帮互助缔结友谊的过程。人类文明失落的世界观不加解释，与结尾都供人自由想象。（8.3/10）,美不胜收的动画佳作 对自然的呈现特别细腻 真实动物发出的各种声音取代了语言对白 在尊重动物习性的基础上只作了尽可能少的拟人化塑造 独立又机警的猫猫 或忠诚或无赖的狗狗 痴迷收藏品或自恋的狐猴 随遇而安的水豚 境界更高近乎分有神性的蛇鹫 还有神出鬼没的守护者巨鲸 大量低机位运动长镜头效果 配上写实自然声与恰到好处配乐 沉浸感太足 天气效果逼真 山水风光秀丽 无论天朗气清 云销雨霁 还是细雨迷蒙甚或狂风暴雨 画面中的葱茏绿意 神秘遗迹 猫猫雕像 宏伟废都和幻彩极光都相当迷人 强度最高的一段审美体验 当属蛇鹫不断飞升而猫猫只能渐次落地的场景 整体上也是猫猫在遭遇洪水浩劫后不断历练成长 从独来独往到与其他动物互帮互助缔结友谊的过程 人类文明失落的世界观不加解释 与结尾都供人自由想象 8 3 10
姑且不谈圣经隐喻是否是人类中心，至少能感觉到导演在尽量规避“正反打”这样人类中心主义的镜头语言（尽管这样的运镜逻辑让本片继续继承了前作的缺点，全片观感像漫长的游戏过场+实况），然而导演对动物姿态的设计明显陷入了人类一厢情愿的“动物应该是这样”，而非真正反对人类中心主义的“动物本身是这样”的原则，依旧在以一种“宠物化”的居高临下视角看待主角们，动物每一次看水面、照镜子，映出的都是人类自己，而非它们本身。后半段角色的人格化越来越明显，但所有的共情仍然仅立足于配乐的渲染和动物（作为凝视对象）的可爱，这大概就是创作思路上的问题了。,姑且不谈圣经隐喻是否是人类中心 至少能感觉到导演在尽量规避 正反打 这样人类中心主义的镜头语言 尽管这样的运镜逻辑让本片继续继承了前作的缺点 全片观感像漫长的游戏过场 实况 然而导演对动物姿态的设计明显陷入了人类一厢情愿的 动物应该是这样 而非真正反对人类中心主义的 动物本身是这样 的原则 依旧在以一种 宠物化 的居高临下视角看待主角们 动物每一次看水面 照镜子 映出的都是人类自己 而非它们本身 后半段角色的人格化越来越明显 但所有的共情仍然仅立足于配乐的渲染和动物 作为凝视对象 的可爱 这大概就是创作思路上的问题了
最伟大的点在于，小动物更像小动物而不是人类，非常清新,最伟大的点在于 小动物更像小动物而不是人类 非常清新
#10443. #26th SIFF# 前入围2024戛纳一种关注。3.5。感觉是使用了游戏引擎或者游戏动画制作的技法，虚拟摄影机用出了很多非常有意思的长镜头，戛纳这种大电影节选是绝对没问题的。世界观不太完整或者说导演不是特别care在电影里铺世界观，这就导致影片能达到的高度有限了（但至少还有一个反人类中心主义的废土-神话叙事在）。黑猫真可爱，水豚更可爱。,10443 26th SIFF 前入围2024戛纳一种关注 3 5 感觉是使用了游戏引擎或者游戏动画制作的技法 虚拟摄影机用出了很多非常有意思的长镜头 戛纳这种大电影节选是绝对没问题的 世界观不太完整或者说导演不是特别care在电影里铺世界观 这就导致影片能达到的高度有限了 但至少还有一个反人类中心主义的废土 神话叙事在 黑猫真可爱 水豚更可爱
让猫成为猫本身，而不要狂妄自大到要把所有拟人化。,让猫成为猫本身 而不要狂妄自大到要把所有拟人化
全靠卡皮巴拉的善良，才攒起来这个家！,全靠卡皮巴拉的善良 才攒起来这个家
"2024siff，第三部。
私心五星，太喜欢了。
少年派的奇幻漂流，但没有少年（不是。见证两次世界“瓦解”的瞬间，everything folws, then everything crashes. 全片尽力做到去人类化，哪怕主要都以哺乳动物为中心来达到共情，也更像是在看爱登堡老爷爷的纪录片而不是动画。在一切迎来翻天覆地的改变时，仍有鸟在栖息，有极光环绕，有从存在之始到我们看不到的以后的巨石永远静默凝视。把时间归还给时间，把世界归还给世界，而我们仍是我们，多么宏大而微妙。

鸟把狗的球推到水里那段全场爆笑）
想玩stray了…

2025.3.1.
最后留在脑海里的，是鸟飞向光的那一刻",2024siff 第三部 私心五星 太喜欢了 少年派的奇幻漂流 但没有少年 不是 见证两次世界 瓦解 的瞬间 everything folws then everything crashes 全片尽力做到去人类化 哪怕主要都以哺乳动物为中心来达到共情 也更像是在看爱登堡老爷爷的纪录片而不是动画 在一切迎来翻天覆地的改变时 仍有鸟在栖息 有极光环绕 有从存在之始到我们看不到的以后的巨石永远静默凝视 把时间归还给时间 把世界归还给世界 而我们仍是我们 多么宏大而微妙 鸟把狗的球推到水里那段全场爆笑 想玩stray了 2025 3 1 最后留在脑海里的 是鸟飞向光的那一刻
想到圣经里那句，我又看见一片新天新地，因为旧的天地已经过去了，海也不再有了,想到圣经里那句 我又看见一片新天新地 因为旧的天地已经过去了 海也不再有了
33.9，包场。正是我所期待的动物动画片，动物不会说人话穿衣服，去性别化二元对立，甚至没有一个人类！！简直绝美！绝美！！绝美！低成本小团队制作的画风似真若幻，非复刻现实，天柱仿佛不周山，巨鲸似鲲，蛇鷲飞升，循此苦旅，以达天际，好奇动物对白动物观众能不能听懂，反正水豚肯定听不懂因为配的骆驼声，幸好囤了很久资源也没看，终于等到大银幕，,33 9 包场 正是我所期待的动物动画片 动物不会说人话穿衣服 去性别化二元对立 甚至没有一个人类 简直绝美 绝美 绝美 低成本小团队制作的画风似真若幻 非复刻现实 天柱仿佛不周山 巨鲸似鲲 蛇鷲飞升 循此苦旅 以达天际 好奇动物对白动物观众能不能听懂 反正水豚肯定听不懂因为配的骆驼声 幸好囤了很久资源也没看 终于等到大银幕
聪明又幸运的猫猫被人类爱过，有仙人庇佑，还遇到一群好友共渡难关。,聪明又幸运的猫猫被人类爱过 有仙人庇佑 还遇到一群好友共渡难关
五年前曾有幸选了Gints的长片首作Away在纽约首映，如今在戛纳的德彪西大厅看他的第二部作品，真是非常欣慰。尽管相比前作一个人搞定所有要肉眼可见的有钱、有人了很多，但依然保留了无对白风格，而以极具想象力与风格化的画面来展现这么一个独特版本的“大洪水与方舟”，配乐也是一如既往的出彩,五年前曾有幸选了Gints的长片首作Away在纽约首映 如今在戛纳的德彪西大厅看他的第二部作品 真是非常欣慰 尽管相比前作一个人搞定所有要肉眼可见的有钱 有人了很多 但依然保留了无对白风格 而以极具想象力与风格化的画面来展现这么一个独特版本的 大洪水与方舟 配乐也是一如既往的出彩
很好，奥斯卡用动画片主动交纳了猫税。只有我觉得白鹭的飞升，其实象征了死亡吗？她用翅膀奋力推开了猫猫，将之推出了灵魂上传的程式，使其意识苏醒，跌回了三维空间？暗喻她最后又一次救了猫猫？社恐又勇敢的猫猫当然很好，快乐小狗毫不设防、毫无保留的友爱与忠诚，也同样可贵。反正我已经在精神上大步流星提前奔小康，实现了两猫四狗的人生。然后永远敬佩着、向往着白鸟的高洁自由，与鲲的广阔。,很好 奥斯卡用动画片主动交纳了猫税 只有我觉得白鹭的飞升 其实象征了死亡吗 她用翅膀奋力推开了猫猫 将之推出了灵魂上传的程式 使其意识苏醒 跌回了三维空间 暗喻她最后又一次救了猫猫 社恐又勇敢的猫猫当然很好 快乐小狗毫不设防 毫无保留的友爱与忠诚 也同样可贵 反正我已经在精神上大步流星提前奔小康 实现了两猫四狗的人生 然后永远敬佩着 向往着白鸟的高洁自由 与鲲的广阔
猫猫好！没有对白的动画非常考验制作团队的表现力，完成度很高，画面也有吸引力。不得不说这届戛纳一种关注有些片子比主竞赛的更像“给人看的”。,猫猫好 没有对白的动画非常考验制作团队的表现力 完成度很高 画面也有吸引力 不得不说这届戛纳一种关注有些片子比主竞赛的更像 给人看的
爱猫人士看得呼吸困难……心疼全程应激的猫猫……隐喻略明显 白鸟升天的那一幕很美,爱猫人士看得呼吸困难 心疼全程应激的猫猫 隐喻略明显 白鸟升天的那一幕很美
猫咪视角的水上公路片，有股独立游戏的即视感，风格简洁却富有表现力，全程无对白的设定反而突破了语言界限，更能让人专注沉浸其中。滔天洪水淹没陆地家园，漂流小船成为栖身港湾，人类文明消亡绝迹的末世，动物们在逆境中团结求生，结识各色伙伴，收获珍贵友谊，惊恐敏感的小黑猫从畏缩到勇敢，从排斥到接纳，在适应新世界的过程中完成了成长试炼，白鹭飞升，鲸鱼搁浅，汹涌的洪水周而复始，登船的乘客来了又去，旅途中获得的力量将会支撑你度过挑战和危险继续朝着未知前行。《机器人之梦》后又一部惊喜满满的小众动画。,猫咪视角的水上公路片 有股独立游戏的即视感 风格简洁却富有表现力 全程无对白的设定反而突破了语言界限 更能让人专注沉浸其中 滔天洪水淹没陆地家园 漂流小船成为栖身港湾 人类文明消亡绝迹的末世 动物们在逆境中团结求生 结识各色伙伴 收获珍贵友谊 惊恐敏感的小黑猫从畏缩到勇敢 从排斥到接纳 在适应新世界的过程中完成了成长试炼 白鹭飞升 鲸鱼搁浅 汹涌的洪水周而复始 登船的乘客来了又去 旅途中获得的力量将会支撑你度过挑战和危险继续朝着未知前行 机器人之梦 后又一部惊喜满满的小众动画
猫猫辛辛苦苦捉鱼给大家吃，结果总有一些狗没有边界感….,猫猫辛辛苦苦捉鱼给大家吃 结果总有一些狗没有边界感
深海恐惧请慎选，几度觉得喘不上来气儿了🙈,深海恐惧请慎选 几度觉得喘不上来气儿了
