原始评论,清洗后评论
很明显这是一部像罗宾威廉姆斯主演《勇敢者的游戏》和《安德的游戏》一样给少年看的科幻电影，充满了冒险，勇气和家庭亲人之间的关爱。这并不是一部给成年人看的硬核科幻，在少年电影的类型片里，我觉着《电幻国度》很不错，很优秀。可是有不少人死乞白咧地非要把影片当成硬核科幻去吐槽，这就分明是放下碗骂人的姿态了。根本就不是拍给你看的东西，非要上杆子凑上去说烂，好意思么！,很明显这是一部像罗宾威廉姆斯主演 勇敢者的游戏 和 安德的游戏 一样给少年看的科幻电影 充满了冒险 勇气和家庭亲人之间的关爱 这并不是一部给成年人看的硬核科幻 在少年电影的类型片里 我觉着 电幻国度 很不错 很优秀 可是有不少人死乞白咧地非要把影片当成硬核科幻去吐槽 这就分明是放下碗骂人的姿态了 根本就不是拍给你看的东西 非要上杆子凑上去说烂 好意思么
很精致的制作，甚至有点铺张浪费，一开始我很纳闷为什么不放大原著的独特气质，而选择在极度平庸的桥段做极度乏味的再制，对，再制奶酪的再制，每一帧都挑不出毛病，但叙事毫无吸引力。后来我想明白了，导演是做TOP漫改的，这种浪漫绘本（或者说设定集）对他们而言就是儿童读物、维基百科，角色的年龄段更是印证了这种预设，所以他们按照自己想象的儿童片的拍法，交了一个都答了但全做错的寒假作业，还不忘谢邀,很精致的制作 甚至有点铺张浪费 一开始我很纳闷为什么不放大原著的独特气质 而选择在极度平庸的桥段做极度乏味的再制 对 再制奶酪的再制 每一帧都挑不出毛病 但叙事毫无吸引力 后来我想明白了 导演是做TOP漫改的 这种浪漫绘本 或者说设定集 对他们而言就是儿童读物 维基百科 角色的年龄段更是印证了这种预设 所以他们按照自己想象的儿童片的拍法 交了一个都答了但全做错的寒假作业 还不忘谢邀
非常糟糕的改编，作为一个《电幻国度》的原著粉，有种“超英电影正在毁掉所有”的感觉。不知是否极力避免《环形物语》过于忠于原作氛围的“沉闷”，罗素兄弟只借了 Simon Stålenhag的不多的“壳”，原著的“魂儿”是一点也不要。美国太习惯将自己塑造成正义的一方，在殖民时代将自己塑造为拓荒者和淘金者；在硅基时代，将自己塑造成追求人机平等的斗士。家庭至上、人权、反战老兵，这种“美国梦叙事”太典了。,非常糟糕的改编 作为一个 电幻国度 的原著粉 有种 超英电影正在毁掉所有 的感觉 不知是否极力避免 环形物语 过于忠于原作氛围的 沉闷 罗素兄弟只借了 Simon Stålenhag的不多的 壳 原著的 魂儿 是一点也不要 美国太习惯将自己塑造成正义的一方 在殖民时代将自己塑造为拓荒者和淘金者 在硅基时代 将自己塑造成追求人机平等的斗士 家庭至上 人权 反战老兵 这种 美国梦叙事 太典了
其实美国电影的剧情有些老套，不过最后传达的理念个人觉得很值得称赞，那就是不要沉溺在虚拟的世界里，而更多的应该是现实世界里彼此的接触，我觉得蛮对当下现实的,其实美国电影的剧情有些老套 不过最后传达的理念个人觉得很值得称赞 那就是不要沉溺在虚拟的世界里 而更多的应该是现实世界里彼此的接触 我觉得蛮对当下现实的
废土、种族隔离、沉迷二次元，合一起确实没啥意思。,废土 种族隔离 沉迷二次元 合一起确实没啥意思
中规中矩的爆米花电影，重生之我在人工智能世界当人肉显卡。。。。。,中规中矩的爆米花电影 重生之我在人工智能世界当人肉显卡
能拍的再乏味点吗？中弃,能拍的再乏味点吗 中弃
We'd have to be alive to die.,We d have to be alive to die
The.Electric.State.2025.1080p.NF.WEB-DL.DDP5.1.H.264-EniaHD,The Electric State 2025 1080p NF WEB DL DDP5 1 H 264 EniaHD
我以为会是环形物语那种……,我以为会是环形物语那种
编剧请把钱退给网飞，另外，你要不想让观众评判你的容貌，别动脸,编剧请把钱退给网飞 另外 你要不想让观众评判你的容貌 别动脸
啥玩意？设定在一个个个机算机刚兴起的年代，然后机器人都成精了？机器人都能和人类作战了？有人说是借科幻的外衣讲人类的故事，但能不能不讲这么愚蠢落后的故事？是不是没有好的剧本了，只能在旧纸堆里找故事了？科幻前沿的地方现在毫无想象力了？跟沙丘一样，一群古代人开着科幻外衣的马匹用刀弓打架，真是够无聊的。,啥玩意 设定在一个个个机算机刚兴起的年代 然后机器人都成精了 机器人都能和人类作战了 有人说是借科幻的外衣讲人类的故事 但能不能不讲这么愚蠢落后的故事 是不是没有好的剧本了 只能在旧纸堆里找故事了 科幻前沿的地方现在毫无想象力了 跟沙丘一样 一群古代人开着科幻外衣的马匹用刀弓打架 真是够无聊的
小灰灰挺可爱,小灰灰挺可爱
没有活人演员可能会好点,没有活人演员可能会好点
场景基本还原了原绘本的那些迷人元素：或然历史、赛博废土、巨大沉默物/建筑、科罗拉多州大平顶山的公路旅途……但剧情着实老套了，女主为了救出被恶搞乔布斯的独裁技术巨头控制的弟弟，带着被弟弟思维附体的小机器人展开漫长旅途，途中结识了一对在人机大战里选择当逃兵的男人和建筑机器人、在隔离区的小镇遇到机器人领袖花生、一众人进攻反派公司总部……感觉一条线下来跟《无主之地》类似，有点乏味了。反倒不如做成《芬奇》那种纯公路片有趣（这个故事里我也最喜欢废土公路的部分，以及那个机器人自治的小镇）。不过这故事反过来倒是证明了绘本/插画的不可替代性，有点好奇Ashley Wood的World War Robot系列如果改编成电影会是怎样？,场景基本还原了原绘本的那些迷人元素 或然历史 赛博废土 巨大沉默物 建筑 科罗拉多州大平顶山的公路旅途 但剧情着实老套了 女主为了救出被恶搞乔布斯的独裁技术巨头控制的弟弟 带着被弟弟思维附体的小机器人展开漫长旅途 途中结识了一对在人机大战里选择当逃兵的男人和建筑机器人 在隔离区的小镇遇到机器人领袖花生 一众人进攻反派公司总部 感觉一条线下来跟 无主之地 类似 有点乏味了 反倒不如做成 芬奇 那种纯公路片有趣 这个故事里我也最喜欢废土公路的部分 以及那个机器人自治的小镇 不过这故事反过来倒是证明了绘本 插画的不可替代性 有点好奇Ashley Wood的World War Robot系列如果改编成电影会是怎样
看完我开始沉思，西天取经、桃太郎、绿野仙踪这种故事是不是每个国家都有一个版本，人类真的好无趣啊喂！而且上周看到还是机器人脸蛋海报，乍一看有点怪诞恐怖，但更吸引人。可惜故事还是太老土了。 最初看到剧照还让我想起《爱死机3：梅森的老鼠》那集，荒诞、孤独、野蛮及适当留白的叙事风格更适合废土，太温馨的团结救赎很难看进去，估计拍太多也是没灵感了，当然美术很棒，机器人都很可爱，外型也有辨识度。,看完我开始沉思 西天取经 桃太郎 绿野仙踪这种故事是不是每个国家都有一个版本 人类真的好无趣啊喂 而且上周看到还是机器人脸蛋海报 乍一看有点怪诞恐怖 但更吸引人 可惜故事还是太老土了 最初看到剧照还让我想起 爱死机3 梅森的老鼠 那集 荒诞 孤独 野蛮及适当留白的叙事风格更适合废土 太温馨的团结救赎很难看进去 估计拍太多也是没灵感了 当然美术很棒 机器人都很可爱 外型也有辨识度
女福尔摩斯+星爵+机器人多层套娃，以及伪机甲、伪动力甲大战，设定还凑合，能看，中号爆米花套餐。。。,女福尔摩斯 星爵 机器人多层套娃 以及伪机甲 伪动力甲大战 设定还凑合 能看 中号爆米花套餐
特效比黑队4要好，剧情很青少年。,特效比黑队4要好 剧情很青少年
【0】震撼。花近20亿人民币重金造屎拍网大，以为拍出科幻史诗，结果拍成了美国人自己的《749局》。平等地荼毒每一个观众。其幼稚可笑，特效之低廉，如此可笑的用以“美国梦”的形式进行好莱坞电影制造。但凡说是一点点沾边，碰瓷《ET外星人》以及《头号玩家》，就是对斯皮尔伯格的侮辱。罗素兄弟能有如此投资和电影拍，简直是以美国梦强奸观众审美霸凌，进行洗钱环节中匪夷所思的一段。叹服。,0 震撼 花近20亿人民币重金造屎拍网大 以为拍出科幻史诗 结果拍成了美国人自己的 749局 平等地荼毒每一个观众 其幼稚可笑 特效之低廉 如此可笑的用以 美国梦 的形式进行好莱坞电影制造 但凡说是一点点沾边 碰瓷 ET外星人 以及 头号玩家 就是对斯皮尔伯格的侮辱 罗素兄弟能有如此投资和电影拍 简直是以美国梦强奸观众审美霸凌 进行洗钱环节中匪夷所思的一段 叹服
好烂,好烂
从没看过拿着如此巨大的投资，创作态度却如此陈旧敷衍，拍出节奏如此散慢，几乎没有任何代入感的科幻大片，白瞎如此精致的特效，这兄弟俩可真有你们的，一部接一部的印证自己“欺世盗名”。,从没看过拿着如此巨大的投资 创作态度却如此陈旧敷衍 拍出节奏如此散慢 几乎没有任何代入感的科幻大片 白瞎如此精致的特效 这兄弟俩可真有你们的 一部接一部的印证自己 欺世盗名
Chris Pratt怎么可以这么讨人厌啊,Chris Pratt怎么可以这么讨人厌啊
科幻過家家，一個關於反抗與平權的故事，硬生生被講成了找弟弟、救弟弟的故事。堆砌了各種套路化的情節，一眼望到頭的故事，反派沒完沒了地童年創傷。雖然機器人的外形被玩具化，其實也可以講出有深度的科幻故事，反烏托邦設定卻政府惡行幾乎隱身，終究淪為只為娛樂服務，而且最諷刺的是，機器人反抗軍的領袖是人類，而彩蛋的弟弟復活更是讓之前的犧牲煽情如同一個笑話。Chris Pratt的角色好邊緣，所承擔的人類與機器人友誼並不動人，刪去角色也並無影響，Millie Bobby Brown的角色也可以負責人機友誼。,科幻過家家 一個關於反抗與平權的故事 硬生生被講成了找弟弟 救弟弟的故事 堆砌了各種套路化的情節 一眼望到頭的故事 反派沒完沒了地童年創傷 雖然機器人的外形被玩具化 其實也可以講出有深度的科幻故事 反烏托邦設定卻政府惡行幾乎隱身 終究淪為只為娛樂服務 而且最諷刺的是 機器人反抗軍的領袖是人類 而彩蛋的弟弟復活更是讓之前的犧牲煽情如同一個笑話 Chris Pratt的角色好邊緣 所承擔的人類與機器人友誼並不動人 刪去角色也並無影響 Millie Bobby Brown的角色也可以負責人機友誼
低头族？ 放下手机，看看周围的人和风景？ 如果有和善的人和社会，谁愿意做低头族，人都是傻子吗？ 正如一句话‘何不食肉糜’,低头族 放下手机 看看周围的人和风景 如果有和善的人和社会 谁愿意做低头族 人都是傻子吗 正如一句话 何不食肉糜
已经是近来第几个大叔带着小姑娘闯荡蛮荒世界呢？《最后生还者》《辐射》再到这部，所有深邃的、反叛的精华，集体让位给低幼逻辑——大概本来就只想整上一出无脑娱乐，一眼望穿的，轻飘飘的，顺拐的，不管有什么灾祸与积习，只要鸡血一下，哄一下，就会有糖有花有和平。在一个机器人比人还有人性的设定下，机器人给自己划拨的小小乐园多么美丽，美丽得悲戚，可惜在这电影里，连悲戚都是算计的走过场。,已经是近来第几个大叔带着小姑娘闯荡蛮荒世界呢 最后生还者 辐射 再到这部 所有深邃的 反叛的精华 集体让位给低幼逻辑 大概本来就只想整上一出无脑娱乐 一眼望穿的 轻飘飘的 顺拐的 不管有什么灾祸与积习 只要鸡血一下 哄一下 就会有糖有花有和平 在一个机器人比人还有人性的设定下 机器人给自己划拨的小小乐园多么美丽 美丽得悲戚 可惜在这电影里 连悲戚都是算计的走过场
其实不算差，非常普通的好莱坞模式，只是这阵容这投资实在太浪费了，没看过原著，但仿照头号玩家质感明显，故事层面差一大截,其实不算差 非常普通的好莱坞模式 只是这阵容这投资实在太浪费了 没看过原著 但仿照头号玩家质感明显 故事层面差一大截
从剧本到剪辑到配乐到表演都像是AI做的（甚至部分好评都像是AI），只要把设定和类型喂进去就能生产出这样一坨冰冷且无聊的视听垃圾。,从剧本到剪辑到配乐到表演都像是AI做的 甚至部分好评都像是AI 只要把设定和类型喂进去就能生产出这样一坨冰冷且无聊的视听垃圾
看完以后发现可以拔草原著了。女主，有些机器人，有些场景的部分还成。故事，太无聊了。不如一些女频网文科幻世界有趣。当你以为终于有了个女主机器人组合的故事，看到后面发现女主是扁平人物，啊，那没事了，不看也罢。还不如再去复习下底特律变人或者那部因为这个缘起的网文（世界之一）,看完以后发现可以拔草原著了 女主 有些机器人 有些场景的部分还成 故事 太无聊了 不如一些女频网文科幻世界有趣 当你以为终于有了个女主机器人组合的故事 看到后面发现女主是扁平人物 啊 那没事了 不看也罢 还不如再去复习下底特律变人或者那部因为这个缘起的网文 世界之一
令人失望、枯燥乏味的观影体验，只有形态各异的废土机械风机器人勉强能看。 剧情是青少年科幻的水平，起承转合都毫无惊喜，种族解放、反抗压迫的话题讨论得太小儿科了。结尾的牺牲因为世界观没铺垫好，缺乏悲壮感，真不理解把世界民众放在结尾有啥意义，这么喜欢孤胆英雄的叙事吗？ Millie Bobby Brown 的脸好成熟，法令纹半永久，但是设定是kid；表情僵硬，演技平平，令人遗憾。很烦星爵了，漫威味太重，现在又老又胖。,令人失望 枯燥乏味的观影体验 只有形态各异的废土机械风机器人勉强能看 剧情是青少年科幻的水平 起承转合都毫无惊喜 种族解放 反抗压迫的话题讨论得太小儿科了 结尾的牺牲因为世界观没铺垫好 缺乏悲壮感 真不理解把世界民众放在结尾有啥意义 这么喜欢孤胆英雄的叙事吗 Millie Bobby Brown 的脸好成熟 法令纹半永久 但是设定是kid 表情僵硬 演技平平 令人遗憾 很烦星爵了 漫威味太重 现在又老又胖
3.0。在《美队4》后怀念的，不只是怀念正处巅峰期且有胆识的漫威，也是怀念《废柴联盟》和《美队2》的罗素兄弟。和《谢里》、《灰影人》一样，很烂吗，不至于，但就是挺无聊的。而充满趣味、与众不同恰恰是最开始喜欢罗素兄弟的原因。,3 0 在 美队4 后怀念的 不只是怀念正处巅峰期且有胆识的漫威 也是怀念 废柴联盟 和 美队2 的罗素兄弟 和 谢里 灰影人 一样 很烂吗 不至于 但就是挺无聊的 而充满趣味 与众不同恰恰是最开始喜欢罗素兄弟的原因
复联味儿实在太重了 Cg做的怪怪的，每个人都有种很明显在做无实物表演的感觉 虽然不想judge小11但是整容过度最终导致与角色不适配感觉比其他人大一轮我觉得还是她自己有问题吧,复联味儿实在太重了 Cg做的怪怪的 每个人都有种很明显在做无实物表演的感觉 虽然不想judge小11但是整容过度最终导致与角色不适配感觉比其他人大一轮我觉得还是她自己有问题吧
直接架空上个世纪的历史，描绘了一场机器人与人类的战争，将故事设定在战后，如此有野心的设想，最后又被罗素兄弟改编成动作喜剧大片，抹杀掉原文本关于反乌托邦等观点的思想深度，貌似只要在最后呼吁一下大家回归现实，就可以假装整部片子没有跑题。反派想要获得社会的稳定和永远的和平，于是选择一部分人进行牺牲，这个观点跟灭霸又有什么区别，完全都是一个模子刻出来的流水线。设定也乱七八糟，明明是一个投射器普及的时代，人类可以离开肉身活动，学校却还要坚持线下上课，结果线下又要佩戴投射器，那线下的意义何在。面对一个声控灯，拍手之前还要大喊一声“Clap on”，这都是什么脑残的台词，根本不像是正常人。只能说视效层面还不错，但又没有与先前的作品有任何的区别度。,直接架空上个世纪的历史 描绘了一场机器人与人类的战争 将故事设定在战后 如此有野心的设想 最后又被罗素兄弟改编成动作喜剧大片 抹杀掉原文本关于反乌托邦等观点的思想深度 貌似只要在最后呼吁一下大家回归现实 就可以假装整部片子没有跑题 反派想要获得社会的稳定和永远的和平 于是选择一部分人进行牺牲 这个观点跟灭霸又有什么区别 完全都是一个模子刻出来的流水线 设定也乱七八糟 明明是一个投射器普及的时代 人类可以离开肉身活动 学校却还要坚持线下上课 结果线下又要佩戴投射器 那线下的意义何在 面对一个声控灯 拍手之前还要大喊一声 Clap on 这都是什么脑残的台词 根本不像是正常人 只能说视效层面还不错 但又没有与先前的作品有任何的区别度
烂，小打小闹，特效拉垮，CGI泛滥，摄影棚作品明显。,烂 小打小闹 特效拉垮 CGI泛滥 摄影棚作品明显
好贵好典的的网飞儿童片,好贵好典的的网飞儿童片
当年在书店翻到绘本，打开官网歌单一口气读完，风格太迷人了。 找来小 11 和星爵来演，风格太冲了，不搭，就是不搭。,当年在书店翻到绘本 打开官网歌单一口气读完 风格太迷人了 找来小 11 和星爵来演 风格太冲了 不搭 就是不搭
不想给及格分，属于5.x的水平，问题主要出在剧本，实在是太平庸了。虚拟世界和真实生活的辩题你放到二十多年前还说得过去，搞搞红蓝药丸也算有点儿前瞻性，但在短视频已经全面入侵日常生活的当下还在搞这种一顿演讲就能颠覆一切的叙事实在是太幼儿了，完全浪费了前面比较带感的平行世界设定，无论是思考深度还是情感塑造都拉垮，换成斯皮尔伯格多好。（ps.小11叫格林，然而长得真的已经快成疯批议员泰勒格林了？？？,不想给及格分 属于5 x的水平 问题主要出在剧本 实在是太平庸了 虚拟世界和真实生活的辩题你放到二十多年前还说得过去 搞搞红蓝药丸也算有点儿前瞻性 但在短视频已经全面入侵日常生活的当下还在搞这种一顿演讲就能颠覆一切的叙事实在是太幼儿了 完全浪费了前面比较带感的平行世界设定 无论是思考深度还是情感塑造都拉垮 换成斯皮尔伯格多好 ps 小11叫格林 然而长得真的已经快成疯批议员泰勒格林了
真善美散装diversity ai agent大战伪光头乔布斯家里夫尼亚设计西雅图制造zoom远程桌面机器人亚洲老黄点错科技树XTX9090 all in one炸鸡叔重生之我也坐轮椅丁丁丁丁没通网咱村成最后净土。说实话有点看不起人工智能了，我是AI第一个把编剧插了，不，奴役他去考公。,真善美散装diversity ai agent大战伪光头乔布斯家里夫尼亚设计西雅图制造zoom远程桌面机器人亚洲老黄点错科技树XTX9090 all in one炸鸡叔重生之我也坐轮椅丁丁丁丁没通网咱村成最后净土 说实话有点看不起人工智能了 我是AI第一个把编剧插了 不 奴役他去考公
题材和立意都没什么新鲜但也算不上难看的那种电影，看的时候没怎么留意进度条，可能是被各种各样的机器人吸引了注意？对于小11的感情就像远房亲戚家的妹妹，每次一有“见面”的机会，都不想错过她的成长与改变。喜欢“无限套娃”的Herm，可爱捏～,题材和立意都没什么新鲜但也算不上难看的那种电影 看的时候没怎么留意进度条 可能是被各种各样的机器人吸引了注意 对于小11的感情就像远房亲戚家的妹妹 每次一有 见面 的机会 都不想错过她的成长与改变 喜欢 无限套娃 的Herm 可爱捏
Millie这妆成熟的过分了 被kim Kardashian毁了的审美,Millie这妆成熟的过分了 被kim Kardashian毁了的审美
删除所有人类角色可打四星，出场机器人虽然样子破破旧旧的，却各有各的可爱，当然全场最佳还得是“套娃”机器人赫姆，从大到小的形象，每一个都能萌翻全场。可惜剧情实属一般，投射概念表现得也很粗糙，总体及格偏上分数,删除所有人类角色可打四星 出场机器人虽然样子破破旧旧的 却各有各的可爱 当然全场最佳还得是 套娃 机器人赫姆 从大到小的形象 每一个都能萌翻全场 可惜剧情实属一般 投射概念表现得也很粗糙 总体及格偏上分数
罗素兄弟最近应该好缺钱吧？,罗素兄弟最近应该好缺钱吧
对于原著党来说这改编的的很垃。,对于原著党来说这改编的的很垃
像那种最无聊的超英电影，想单纯靠IP打开市场，结果这拍的。都是按上个世纪的好莱坞剧本写作书给的模板写的一样。任何一个走向都毫无意外，更没有惊喜了。浪费钱。,像那种最无聊的超英电影 想单纯靠IP打开市场 结果这拍的 都是按上个世纪的好莱坞剧本写作书给的模板写的一样 任何一个走向都毫无意外 更没有惊喜了 浪费钱
估计我13岁时看都会觉得幼稚,估计我13岁时看都会觉得幼稚
网飞口水剧情，在某种程度上居然还挺应景，当然还是美术比较有趣。,网飞口水剧情 在某种程度上居然还挺应景 当然还是美术比较有趣
Taco在弹女武神那一刻还蛮燃的……结果死在了i will survive里，感觉有点讽刺啊哈哈,Taco在弹女武神那一刻还蛮燃的 结果死在了i will survive里 感觉有点讽刺啊哈哈
投影放动画电影那一幕真的很打动人。很喜欢这个机器国度的设计，但整个故事线没什么悬念。,投影放动画电影那一幕真的很打动人 很喜欢这个机器国度的设计 但整个故事线没什么悬念
怎么说呢？偏幼儿向。儿童化的东西就是倾向于简单化。非黑即白，非好即坏。 | 都把机器人塑造得那么可爱有趣，好像都是游乐场员工一样，你们忘记天网T-600了是吧？,怎么说呢 偏幼儿向 儿童化的东西就是倾向于简单化 非黑即白 非好即坏 都把机器人塑造得那么可爱有趣 好像都是游乐场员工一样 你们忘记天网T 600了是吧
不烂，就是单薄。原著里，我喜欢的末世诗意感应该让泰伦斯马力克拍才对味儿，现在被罗素兄弟拍成丐版《头号玩家》，属于是没办法的办法了。,不烂 就是单薄 原著里 我喜欢的末世诗意感应该让泰伦斯马力克拍才对味儿 现在被罗素兄弟拍成丐版 头号玩家 属于是没办法的办法了
这设定这特效这角色，因为这拉稀剧本全毁了，还有两个性格都没差的无聊反派谢谢你们了……套娃机器人虽然比不上雷雷雷那款可爱也算还可以了。机器奇美拉戏份可以再多点。,这设定这特效这角色 因为这拉稀剧本全毁了 还有两个性格都没差的无聊反派谢谢你们了 套娃机器人虽然比不上雷雷雷那款可爱也算还可以了 机器奇美拉戏份可以再多点
